location,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz
lat,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876
lon,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172
asl,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365
variable,Temperature,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Precipitation Total,Snowfall Amount,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Direction
unit,°C,min,W/m²,W/m²,W/m²,mm,cm,%,%,km/h,°
level,2 m elevation corrected,sfc,sfc,sfc,sfc,sfc,sfc,2 m,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None
timestamp,Graz Temperature [2 m elevation corrected],Graz Sunshine Duration,Graz Shortwave Radiation,Graz Direct Shortwave Radiation,Graz Diffuse Shortwave Radiation,Graz Precipitation Total,Graz Snowfall Amount,Graz Relative Humidity [2 m],Graz Cloud Cover Total,Graz Wind Speed [10 m],Graz Wind Direction [10 m]
20180101T0000,4.32137,0.0,0.0,0.0,0.0,0.0,0.0,73.0,26.0,6.87779,276.009
20180101T0100,4.2613697,0.0,0.0,0.0,0.0,0.0,0.0,65.0,38.0,13.441071,277.69604
20180101T0200,3.1013699,0.0,0.0,0.0,0.0,0.0,0.0,69.0,54.0,19.211996,282.99463
20180101T0300,3.80137,0.0,0.0,0.0,0.0,0.0,0.0,66.0,100.0,23.936617,282.15494
20180101T0400,4.31137,0.0,0.0,0.0,0.0,0.0,0.0,67.0,100.0,21.398056,282.63336
20180101T0500,4.7813697,0.0,0.0,0.0,0.0,0.0,0.0,68.0,100.0,18.448023,275.59933
20180101T0600,5.0113697,0.0,0.0,0.0,0.0,0.0,0.0,69.0,100.0,16.595179,266.26862
20180101T0700,4.79137,0.0,0.0,0.0,0.0,0.0,0.0,70.0,89.0,12.620554,266.7295
20180101T0800,4.14137,0.0,0.0,0.0,0.0,0.0,0.0,68.0,100.0,8.766573,289.17902
20180101T0900,3.04137,9.414893,0.89,0.17607743,0.71392256,0.0,0.0,70.0,44.0,9.021574,298.61047
20180101T1000,3.82137,0.0,84.549995,44.862194,39.6878,0.0,0.0,73.0,100.0,7.289445,302.90524
20180101T1100,5.4913697,0.0,155.75,85.93868,69.81132,0.0,0.0,72.0,100.0,8.78872,304.99203
20180101T1200,7.13137,0.0,187.79,120.5714,67.21859,0.0,0.0,71.0,100.0,9.339208,297.55283
